Common Name,CrowdStrike,IRL,Kaspersky,Secureworks,Mandiant,FireEye,Symantec,iSight,Cisco (Sourcefire/VRT > Talos),Palo Alto Unit 42,Other Names,Operation 1,Operation 2,Operation 3,Operation 4,Toolset / Malware,Targets,Modus Operandi,Overlaps to,Comment
Comment Crew,Comment Panda,PLA Unit 61398,,TG-8223,APT 1,,,BrownFox,Group 3,,"GIF89a, ShadyRAT, Shanghai Group, Byzantine Candor",Shady RAT,,,,"WEBC2, BISCUIT and many others","U.S. cybersecurity firm Mandiant, later purchased by FireEye, released a report in February 2013 that exposed one of China's cyber espionage units, Unit 61398. The group, which FireEye called APT 1, is a unit within China's People's Liberation Army (PLA) that has been linked to a wide range of cyber operations targeting U.S. private sector entities for espionage purposes. The comprehensive report detailed evidence connecting APT 1 and the PLA, offered insight into APT 1's operational malware and methodologies, and provided timelines of the espionage it conducted.",,,
APT 2,Putter Panda,PLA Unit 61486,,TG-6952,APT 2,,,,Group 36,,SearchFire,,,,,MSUpdater,"This threat actor targets firms in the technology (communications, space, aerospace), research, defense, and government sectors in the United States for espionage purposes. The tools and infrastructure it uses overlap with PLA Unit 61398.",,,
UPS,Gothic Panda,,,TG-0110,APT 3,,Buckeye,UPS Team,Group 6,,"Boyusec – the Guangzhou Boyu Information Technology Company, Ltd",Clandestine Fox,Double Tap,Clandestine Wolf,,"Shotput, Pirpi, PlugX/Sogu, Kaba, Cookie Cutter, many 0days: IE, Firefox, and Flash, SportLoader","This threat actor targets and compromises entities in the defense, construction, technology, and transportation sectors. Up until 2015, it was primarily focused on U.S. and UK entities, but it shifted to Hong Kongâ€“based targets afterward. Aerospace and Defence; Construction and Engineering; Energy; High Tech; Nonprofit; Telecommunications; Transportation",,,
IXESHE,Numbered Panda,,,TG-2754 (tentative),APT 12,BeeBus,,Calc Team,Group 22,,"DynCalc, Crimson Iron, DNSCalc",NYT Oct 2012,,,,"Etumbot, Riptide, Hightide, ThreeByte, Waterspout, Mswab, Gh0st, ShowNews, 3001","This threat actor targets organizations in Japan, Taiwan, and elsewhere in East Asiaâ€”including electronics manufacturers and telecommunications companiesâ€”for espionage purposes.",,,
APT 16,,,,,APT 16,,,,,,,,,,,ELMER backdoor,"This threat actor targets and compromises Japanese and Taiwanese entities in the finance, tech, media, and government sectors.","Spear phishing email delivering a malicious Microsoft Word document exploiting EPS dict copy use-after-free vulnerability, and the local Windows privilege escalation vulnerability CVE-2015-1701. The successful exploitation of both vulnerabilities led to the delivery of either a downloader (IRONHALO), or a backdoor (ELMER).",,
Hidden Lynx,Aurora Panda,,,,APT 17,Deputy Dog,Hidden Lynx,Tailgater Team,Group 8,,"Axiom, SportsFans",Ephemeral Hydra,,,,"BLACKCOFFEE, WEBCnC, Joy RAT, PlugX, Trojan.Naid, Backdoor.Moudoor, Backdoor.Vasport, Backdoor.Boda, Trojan.Hydraq, ZxShell, Sakula, China Chopper","Government, defense & aerospace, industrial engineering, NGOs",,,
Wekby,Dynamite Panda,PLA Navy,,TG-0416,APT 18,,,,,,,,,,,"HTTPBrowser, TokenControl, HcdLoader, PisLoader",Aerospace and Defence; Construction and Engineering; Education; Health and Biotechnology; High Tech; Telecommunications; Transportation,,,
Axiom,,,,,APT 17,,,Tailgater Team,Group 72,,"Dogfish (iDefense), Deputy Dog (iDefense)",SMN,,,,"Winnti, Gh0st RAT, PoisonIvy, HydraQ, Hikit, ZxShell, Deputy Dog, Derusbi, PlugX, HTRAN, HDRoot, Fscan, Timestomper",,,Shell Crew,"Use ""Skeleton Key"" on DCs"
Winnti Group,Wicked Panda,,,,,,,,,,,,,,,"Winnti, AceHash, PlugX, Webshells, ZxShell",,,"Deep Panda, Wicked Spider",
Shell Crew,Deep Panda,,WebMasters,,APT 19,KungFu Kittens,,,Group 13,,"Sh3llCr3w, PinkPanther",Anthem,OPM,Anthem Hack,,"Sakula/Sakurel, Derusbi, Scanbox Framework, many Webshells including China Chopper, WCE",,,Axiom,
Naikon,Lotus Panda,PLA Unit 78020,Naikon,,APT 30,,,,,,,MsnMM,Naikon,Camera Shy,,"RARSTONE, BACKSPACe, NETEAGLE, XSControl",,,,
PLATINUM,,,,,,,,,,,TwoForOne,Hellsing,,,," Hotpatching techniques, CVE-2015-2545, AMT Feature FW evasion","primarily targets governmental organizations, defense institutes, intelligence agencies, and telecommunication providers in South and Southeast Asia",South East Asia,,
Lotus Blossom,,,Spring Dragon,,,,,,,Lotus Blossom,"ST Group, Esile",Operation Lotus Blossom,,,,"Elise Backdoor, Lstudio, CVE-2017-11882",,,,
APT 6,,,,,APT 6,,,,,,1.php Group,,,,,"Poison Ivy, ",US Government Organizations,,,Overlaps with Operation Night Dragon
Hurricane Panda,Hurricane Panda,,,,,,Black Vine,TEMP.Avengers,,,Zirconium,Umbrella Revolution,Op. Poisoned Hurricane,,,"China Chopper Webshell, PlugX, Mimikatz, Sakula","Aerospace, Healthcare, Energy (gas & electric turbine manufacturing), Military and defense, Finance, Agriculture, Technology, Japan, United States, United Kingdom, India, Canada, Brazil, South Africa, Australia, Thailand, South Korea, France, Switzerland, Sweden, Finland, Norway",,,used free DNS servers provided by Hurricane Electric
Emissary Panda,Emissary Panda,,LuckyMouse,"BRONZE UNION, TG-3390",APT 27,,,TEMP.Hippo,Group 35,,"ZipToken, Iron Tiger",Iron Tiger,"A Tale of Two Targets	",,,"PlugX, China Chopper Webshell, HttpBrowser, Hunter, ASPXTool, wce, gsecdump, nbtscan, htran",US Gov and contractors,,,
